CC,Site,PID,ICRAFPID,Lon,Lat
GH,Ajumako,GH-fCvIxj,Ajumako-1-1,-0.787107,5.373987
GH,Kubeasi,GH-GVxmUJ,Kubeasi-2-1,-1.309232,6.710963
GH,Ajumako,GH-heqUpH,Ajumako-16-1,-0.717422,5.447667
GH,Lambussie,GH-hwmuaF,Lambussie-14-1,-2.620427,10.880117
GH,Kubeasi,GH-iBWDhv,Kubeasi-10-1,-1.260205,6.711953
GH,Ajumako,GH-iE4Gwn,Ajumako-7-2,-0.75521,5.42006
GH,Kubeasi,GH-InP69m,Kubeasi-4-1,-1.309595,6.759962
GH,Lambussie,GH-JnIBJg,Lambussie-13-1,-2.607243,10.866278
GH,Ajumako,GH-JvbwrV,Ajumako-8-1,-0.764775,5.442548
GH,Lambussie,GH-KypyOq,Lambussie-1-1,-2.686115,10.863862
GH,Lambussie,GH-oJeKpM,Lambussie-11-1,-2.6396,10.916732
GH,Ajumako,GH-QbN4Kn,Ajumako-3-1,-0.780368,5.413793
GH,Kubeasi,GH-QwtwP6,Kubeasi-13-1,-1.241593,6.692002
GH,Lambussie,GH-QXLJwC,Lambussie-9-1,-2.632743,10.860497
GH,Ajumako,GH-Qzct1w,Ajumako-15-1,-0.709083,5.423182
GH,Kubeasi,GH-rdDZHn,Kubeasi-1-1,-1.306978,6.695832
GH,Ajumako,GH-rLzih0,Ajumako-10-1,-0.733822,5.399108
GH,Lambussie,GH-rpYxtY,Lambussie-15-1,-2.62005,10.909882
GH,Kubeasi,GH-ry1xGf,Kubeasi-3-1,-1.305245,6.732773
GH,Kubeasi,GH-SA6LBU,Kubeasi-9-1,-1.25978,6.682327
GH,Ajumako,GH-ShutWJ,Ajumako-4-1,-0.771613,5.44978
GH,Kubeasi,GH-TsfBTV,Kubeasi-7-1,-1.284068,6.728055
GH,Kubeasi,GH-USlMUM,Kubeasi-11-1,-1.266893,6.740218
GH,Ajumako,GH-UWQ1tZ,Ajumako-9-1,-0.726425,5.377035
GH,Ajumako,GH-uzC0Yf,Ajumako-11-1,-0.736547,5.415528
GH,Ajumako,GH-wuestW,Ajumako-5-2,-0.762728,5.371555
GH,Kubeasi,GH-xA9c7P,Kubeasi-8-1,-1.295707,6.755363
GH,Lambussie,GH-XCROf8,Lambussie-7-1,-2.65447,10.9093
GH,Kubeasi,GH-XTGlPk,Kubeasi-14-1,-1.249092,6.711267
GH,Lambussie,GH-ycK23Y,Lambussie-6-1,-2.661688,10.87777
GH,Lambussie,GH-Z3HYsL,Lambussie-2-1,-2.684622,10.88871
GH,Lambussie,GH-zOi7Y1,Lambussie-8-1,-2.664413,10.928688
GN,Fria,GN-17EA0F,Fria-4-4,-13.427973,10.537048
GN,Boumeoul,GN-3656wA,Boumeoul-7-2,-13.157495,11.94213
GN,Fria,GN-A2z1lx,Fria-1-2,-13.424075,10.472017
